6	transition
9	transversion
45	transversion
18	transition
3	transversion
74	transversion
10	transition
5	transversion
7	transition
19	transition
12	transversion
5	transition
24	transversion
21	transversion
11	transversion
15	transversion
265	transition
7	transition
7	transition
32	transition
3	transition
12	transition
4	transition
17	transition
314	transition
215	transversion
32	transition
7	transversion
69	transition
18	transversion
8	transversion
487	transition
12	transition
415	transversion
5	transition
16	transition
4	transversion
9	transversion
6	transition
11	transversion
59	transition
10	transversion
110	transition
17	transition
6	transversion
35	transition
13	transition
11	transition
7	transition
8	transversion
15	transversion
25	transversion
67	transversion
57	transition
28	transversion
10	transversion
18	transition
10	transition
12	transition
43	transversion
11	transversion
26	transition
15	transversion
14	transition
9	transition
8	transition
6	transversion
7	transversion
40	transversion
59	transition
24	transition
11	transition
12	transition
15	transversion
34	transition
13	transition
19	transition
7	transversion
17	transition
5	transversion
28	transition
3	transversion
24	transversion
21	transition
22	transversion
7	transversion
14	transition
5	transversion
10	transversion
40	transition
2	transversion
11	transition
14	transition
8	transition
10	transversion
9	transversion
27	transition
7	transversion
59	transversion
107	transition
66	transition
15	transversion
8	transversion
242	transversion
126	transition
13	transition
32	transition
6	transition
8	transition
144	transversion
5	transversion
6	transversion
73	transversion
12	transition
82	transversion
7	transversion
3	transversion
73	transversion
17	transversion
33	transition
12	transition
250	transition
3	transition
10	transversion
7	transition
13	transition
11	transversion
12	transition
118	transition
14	transversion
9	transversion
4	transition
5	transversion
21	transition
7	transition
99	transversion
123	transition
27	transition
29	transversion
6	transversion
53	transition
51	transition
7	transversion
13	transition
88	transversion
19	transition
108	transversion
25	transition
9	transition
11	transversion
8	transversion
28	transversion
7	transition
17	transition
10	transversion
160	transversion
43	transition
46	transversion
21	transversion
7	transition
7	transversion
65	transversion
96	transition
39	transition
4	transition
14	transition
10	transition
9	transition
7	transversion
130	transition
8	transition
19	transition
5	transversion
10	transition
85	transition
4	transition
4	transition
14	transversion
9	transversion
7	transition
13	transition
38	transversion
10	transition
50	transversion
45	transition
11	transversion
32	transition
11	transversion
7	transition
25	transition
6	transition
22	transversion
5	transition
19	transition
60	transition
437	transversion
9	transversion
11	transition
13	transition
6	transition
5	transition
8	transition
12	transition
16	transition
192	transversion
110	transition
9	transversion
58	transversion
6	transversion
5	transition
6	transversion
29	transition
527	transversion
55	transition
6	transversion
6	transversion
7	transversion
8	transition
4	transition
6	transversion
75	transition
13	transversion
70	transition
38	transition
10	transition
9	transversion
25	transversion
15	transversion
12	transition
9	transversion
9	transition
8	transition
8	transition
6	transition
4	transversion
